전체,살인,강도,절도,폭력,성폭력,주소,위도,경도,지구대,관할구역
2,1,3,2,2,1,서울 영등포구 당산로 221,37.5335929,126.901265,당산,"당산2동, 당산동6가, 양평로12길, 양평로12가길, 선유로52길, 선유로54길, 당산로46길, 당산로46가길, 당산로47, 당산로49길, 당산로50길, 당산로51길, 당산로52길, 당산로54길, 양평2동, 양평동3가, 양화동, 올림픽대로, 노들로"
3,5,2,3,4,2,서울 영등포구 대림로 197,37.4983161,126.898056,대림3,대림3동
5,5,4,4,5,4,서울 영등포구 대림로23길 16-1,37.4934062,126.898707,대림,"대림1동, 대림2동"
3,3,2,3,5,3,서울 영등포구 대방천로 195,37.4991209,126.912767,신풍,"신길3동, 신길5동, 신길6동, 신길7동, 가마산로540, 가마산로544, 가마산로546, 가마산로548, 가마산로550, 가마산로552, 가마산로554, 가마산로556, 가마산로558, 가마산로560, 가마산로562, 가마산로564, 가마산로566, 가마산로568, 가마산로569, 가마산로570, 가마산로571, 가마산로572, 가마산로573, 가마산로574, 가마산로575, 가마산로576, 가마산로577, 가마산로578, 가마산로579, 가마산로580, 가마산로581, 가마산로582, 가마산로583, 가마산로584, 가마산로585, 가마산로586, 가마산로587, 가마산로588, 가마산로88길, 가마산로90길, 가마산로82길, 여의대방로161, 여의대방로163, 여의대방로165, 여의대방로169, 여의대방로171, 여의대방로173, 여의대방로175,여의대방로177, 여의대방로179, 여의대방로181, 여의대방로183, 여의대방로185, 여의대방로187, 여의대방로189, 여의대방로35길, 여의대방로35가길, 여의대방로39길, 여의대방로39가길, 신풍로17길"
4,5,3,3,4,5,서울 영등포구 선유로 95,37.5226985,126.889685,양평,"양평동1가, 양평동2가, 양평동3가, 선유서로31길, 선유서로32길, 선유서로34길, 선유서로35길, 선유로33길, 선유로35길, 양산로1길, 양산로3길, 양산로7길, 양산로9길, 국회대로22길, 당산동1가, 당산동2가, 당산동3가"
4,4,3,5,4,4,서울 영등포구 신길로60다길 16,37.5134659,126.914119,신길,"신길1동, 신길2동, 신길4동, 신길7동, 가마산로89길, 여의대방로43길, 여의대방로43가길, 여의대방로47가길, 여의대방로249, 여의대방로55길, 여의대방로61길, 여의대방로43길"
4,2,2,3,3,5,서울 영등포구 여의공원로 120,37.5281241,126.925754,여의도,여의도동
5,5,5,4,3,5,서울 영등포구 영등포로46길 14,37.5180018,126.907519,중앙,"영등포동1가, 영등포동2가, 영등포동3가, 영등포동4가, 영등포동5가, 영등포동6가, 영등포동7가, 영등포동8가, 당산동"
4,1,1,5,5,4,서울 중구 태평로1가 세종대로 141,37.568896,126.97644,세종로,"세종로동, 세종대로159, 세종대로161, 세종대로163, 세종대로167, 세종대로169, 세종대로175, 세종대로189, 세종대로209, 세종대로23길, 도렴동, 새문안로9길, 세종대로지하172, 당주동, 새문안로5길, 새문안로7길, 새문안로2길, 새문안로68, 새문안로76, 새문안로82, 새문안로92, 새문안로96, 새문안로101, 새문안로103, 새문안로103-5, 새문안로105, 신문로1가, 세종대로21길, 신문로2가, 새문안로38, 새문안로42, 새문안로46, 새문안로50, 새문안로58, 세종대로141"
4,1,3,4,5,5,서울 중구 다동 48,37.567998,126.979966,태평로,"남대문로1가, 다동, 무교동, 을지로1가, 을지로2가, 을지로51, 을지로65, 을지로79, 을지로5길, 을지로지하58, 을지로지하88, 삼각동, 수하동, 장교동, 삼일대로363, 삼일대로13길, 청계천로86, 태평로1가, 세종대로지하101, 남대문로2가, 남대문로55, 남대문로67, 남대문로73, 남대문로지하72, 남대문로3가, 남대문로17, 남대문로17-1, 남대문로19-1, 남대문로19-2, 남대문로21, 남대문로21-1, 남대문로23, 남대문로23-1, 남대문로25, 남대문로25-1, 남대문로25-2, 남대문로25-6, 남대문로27, 남대문로27-1, 남대문로27-2, 남대문로29, 남대문로29-1, 남대문로29-2, 남대문로39, 남대문로지하14, 남대문로4가, 남대문로5, 남대문로7, 남대문로9, 남대문로11, 남대문로15, 남대문로1길, 세종대로50, 세종대로58, 세종대로62, 세종대로12길, 북창동, 태평로2가"
