Column1,새주소,지번주소,X,Y,콘텐츠 명,구명,상세정보 값 1
945,서울특별시 양천구 목동동로 257 (목동현대하이페리온),서울특별시 양천구 목동 916번지 현대하이페리온,126.874715,37.52627532,현대백화점 목동점 문화홀,양천구,공연장
946,서울특별시 강남구 테헤란로 517 (삼성동현대백화점),서울특별시 강남구 삼성동 159-7번지 현대백화점,127.0599312,37.50843949,현대백화점 무역센터점 문화홀,강남구,공연장
947,서울특별시 성북구 동소문로 315 (길음동현대백화점미아점),서울특별시 성북구 길음동 20-1번지 현대백화점미아점,127.0289471,37.60814037,현대백화점 미아점 문화홀,성북구,공연장
948,서울특별시 서대문구 신촌로 83 (창천동현대백화점신촌점),서울특별시 서대문구 창천동 30-33번지 현대백화점신촌점,126.9356862,37.55582119,현대백화점 신촌점 문화홀(유플렉스제이드홀),서대문구 ,공연장
949,서울특별시 강남구 압구정로29길 21 (압구정동현대백화점토파즈홀),서울특별시 강남구 압구정동 450번지 현대백화점토파즈홀,127.0278656,37.52870339,현대백화점 압구정본점 문화홀,강남구,공연장
950,서울특별시 강동구 천호대로 1005 (천호동현대백화점),서울특별시 강동구 천호동 455-8번지 현대백화점,127.1240538,37.53882626,현대백화점 천호점 문화홀,강동구,공연장
951,서울특별시 중구 서소문로 88 (순화동중앙일보사건물),서울특별시 중구 순화동 7번지 중앙일보사건물,126.9709565,37.56203957,호암아트홀,중구,공연장
952,서울특별시 종로구 동숭길 41 (동숭동),서울특별시 종로구 동숭동 1-150번지,127.0043681,37.58009863,호은아트홀,종로구,공연장
953,서울특별시 종로구 이화장길 72 (동숭동돈화빌딩),서울특별시 종로구 동숭동 199-33번지 돈화빌딩 돈화의원,127.0045764,37.57846008,환상극장,종로구,공연장
954,서울특별시 종로구 동숭길 76 (동숭동),서울특별시 종로구 동숭동 50-42번지,127.0042039,37.58167956,훈아트홀 1관,종로구,공연장
955,서울특별시 종로구 동숭길 76 (동숭동),서울특별시 종로구 동숭동 50-42번지,127.0042039,37.58167956,훈아트홀 2관,종로구,공연장
973,서울특별시 성동구 성수일로 77 206호 (성수동1가서울숲IT밸리),서울특별시 성동구 성수동1가 13-164번지 서울숲IT밸리 206호,127.0505526,37.54735336,MC갤러리,성동구,갤러리
1046,서울특별시 강남구 삼성로147길 66 (청담동),서울특별시 강남구 청담동 16-17번지,127.0443325,37.52058989,갤러리선컨템포러리,강남구,갤러리
1161,서울특별시 동대문구 왕산로 214 (전농동청량리역롯데백화점),서울특별시 동대문구 전농동 591-53번지 청량리역롯데백화점,127.0474603,37.5804978,롯데갤러리 청량리점,동대문구,갤러리
1239,서울특별시 종로구 경희궁1가길 11 (신문로2가아산정책연구소),서울특별시 종로구 신문로2가 1-176번지 아산정책연구소,126.9685871,37.57231967,아산정책연구원 갤러리(AAIPS 에이아이프스),종로구,갤러리
1370,경상남도 진주시 진양호로 526 지하1층 (인사동백상빌딩),경상남도 진주시 인사동 1-7번지 백상빌딩 지하1층 길12,128.0830127,35.19253822,화봉갤러리,종로구,갤러리
