지방청,경찰서,관서명,동,구분,주소,위도,경도
서울청,서울방배,서래,서초구,치안센터,서울 서초구 신반포로15길 14,37.5044373,126.9945735
서울청,서울방배,이수,서초구,치안센터,서울 서초구 방배중앙로 131,37.4903505,126.9868953
서울청,서울은평,불광,은평구,치안센터,서울 은평구 불광로 129,37.6182636,126.9329115
서울청,서울은평,불광,은평구,치안센터,서울 은평구 통일로 914,37.6244544,126.9202169
서울청,서울은평,연신내,은평구,치안센터,서울 은평구 갈현로 151,37.6114611,126.9111342
서울청,서울은평,연신내,은평구,치안센터,서울 은평구 갈현로 41길 3,37.6239915,126.9165079
서울청,서울은평,진관,은평구,치안센터,서울 은평구 진관2로 125,37.6354486,126.9231387
서울청,서울은평,진관,은평구,치안센터,서울 은평구 진관4로 48-25,37.6440901,126.9287847
서울청,서울은평,역촌,은평구,치안센터,서울 은평구 연서로6길 19,37.6044045,126.917928
서울청,서울도봉,신방학,도봉구,치안센터,서울 도봉구 방학로 12길 18,37.6628385,127.0306573
서울청,서울도봉,숭미,도봉구,치안센터,서울 도봉구 우이천로 401,37.6500463,127.0201532
서울청,서울수서,도곡,강남구,치안센터,서울 강남구 남부순환로378길29,37.4845355,127.0468249
서울청,서울수서,도곡,강남구,치안센터,서울 강남구 역삼로 117,37.4938191,127.0321969
서울청,서울수서,대치,강남구,치안센터,서울 강남구 삼성로 236,37.4983198,127.0614559
서울청,서울수서,개포,강남구,치안센터,서울 강남구 개포로 310-15,37.4820307,127.0576163
서울청,서울수서,일원,강남구,치안센터,서울 강남구 영동대로3길 5,37.4882321,127.0738375
서울청,서울수서,수서,강남구,치안센터,서울 강남구 밤고개로 99,37.4737808,127.1065697
서울청,서울중부,을지,중구,지구대,서울특별시 중구  을지로 234,37.5664371,127.0039294
서울청,서울중부,광희,중구,지구대,서울특별시 중구  퇴계로 375-1,37.5652296,127.0133632
서울청,서울중부,약수,중구,지구대,"서울특별시 중구  동호로 5길 15, 약수지구대",37.5521058,127.0123694
서울청,서울중부,신당,중구,파출소,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",37.5650079,127.0163825
서울청,서울중부,장충,중구,파출소,서울특별시 중구  동호로 261,37.5587439,127.0047721
