명칭,좌표주소,위도,경도,상세주소,상세내용
방범 CCTV,대한민국 서울특별시 금천구 시흥대로2길 60,37.4350043,126.9065172,시흥대로2길 60,관리번호: P163
방범 CCTV,대한민국 서울특별시 금천구 시흥대로2나길 28,37.4359959,126.905296,시흥대로2나길 28,관리번호: P164
방범 CCTV,대한민국 서울특별시 금천구 시흥대로56길 40,37.4527834,126.9038431,시흥대로56길 40 금빛공원 뒤,관리번호: P165
방범 CCTV,대한민국 서울특별시 금천구 독산로44길 9,37.4609919,126.9052979,독산로44길 9,관리번호: P166
방범 CCTV,대한민국 서울특별시 금천구 시흥대로104길 10,37.4645607,126.8982905,시흥대로104길 10,관리번호: P167
방범 CCTV,대한민국 서울특별시 금천구 독산로24다길 44,37.4539377,126.9086208,독산로24다길 44,관리번호: P168
방범 CCTV,대한민국 서울특별시 금천구 시흥대로110길 21,37.4670965,126.8998675,시흥대로110길 21,관리번호: P169
방범 CCTV,대한민국 서울특별시 금천구 독산로99길 7,37.4748541,126.9028255,독산로99길 7,관리번호: P170
방범 CCTV,대한민국 서울특별시 금천구 은행나무로 21,37.4506891,126.9047835,은행나무로21,관리번호: P171
방범 CCTV,대한민국 서울특별시 금천구 독산로107길 13,37.4778365,126.9027254,독산로107길 13,관리번호: P172
방범 CCTV,대한민국 서울특별시 금천구 시흥대로150길 56,37.4763121,126.9018749,시흥대로150길 56,관리번호: P173
방범 CCTV,대한민국 서울특별시 금천구 독산로93길 18,37.4740151,126.902233,독산로93길 18,관리번호: P174
방범 CCTV,대한민국 서울특별시 금천구 독산로 281-24,37.4713326,126.9025119,독산로281-24,관리번호: P175
방범 CCTV,대한민국 서울특별시 금천구 남부순환로126길 69,37.4773403,126.907618,남부순환로126길 69,관리번호: P176
방범 CCTV,대한민국 서울특별시 금천구 독산로106길 31,37.477956,126.905609,독산로106길 31,관리번호: P177
방범 CCTV,대한민국 서울특별시 금천구 독산로92길 16,37.4737131,126.9042554,독산로92길 16,관리번호: P178
공원방범 CCTV,대한민국 서울특별시 금천구 독산동,37.4681147,126.8981937,독산동 971,관리번호: A122
공원방범 CCTV,대한민국 서울특별시 금천구 독산동 산193-3,37.4675444,126.9074564,독산동 산193-3,관리번호: A123
공원방범 CCTV,대한민국 서울특별시 금천구 시흥동 871-24,37.4577162,126.9018541,시흥동 871-24,관리번호: A124
공원방범 CCTV,대한민국 서울특별시 금천구 시흥동 970-3,37.4348163,126.9048962,시흥동 970-3,관리번호: A125
공원방범 CCTV,대한민국 서울특별시 금천구 시흥동,37.4492857,126.9104662,시흥동 817,관리번호: A126
공원방범 CCTV,대한민국 서울특별시 금천구 시흥동 925-32,37.4481155,126.9085675,시흥동 925-32,관리번호: A127
공원방범 CCTV,대한민국 서울특별시 금천구 시흥동,37.4492857,126.9104662,시흥동 731,관리번호: A128
어린이보호 CCTV,대한민국 서울특별시 금천구 시흥대로90길 63,37.462974,126.9007203,시흥대로90길63,관리번호: C123
어린이보호 CCTV,대한민국 서울특별시 금천구 남부순환로128길 71,37.4774966,126.9089351,남부순환로128길71,관리번호: C124
방범 CCTV,대한민국 서울특별시 금천구 독산로84길 27,37.472211,126.9048302,독산로84길27,관리번호: P283
방범 CCTV,대한민국 서울특별시 금천구 독산로80길 23-4,37.4708141,126.9047036,독산로80길23-4,관리번호: P284
방범 CCTV,대한민국 서울특별시 금천구 시흥대로37길 10,37.4456743,126.9029896,시흥대로 37길 10,관리번호: P285
공원방범 CCTV,대한민국 서울특별시 금천구 가산동 28-2,37.4827926,126.8844807,가산동 28-2,관리번호: A120
공원방범 CCTV,대한민국 서울특별시 금천구 독산동 378-4,37.4656326,126.9063064,독산동 378-4,관리번호: A121
주정차단속 CCTV,대한민국 서울특별시 금천구 독산로 353,37.4783869,126.9035868,독산로353 캐슬PC방,관리번호: N113
주정차단속 CCTV,대한민국 서울특별시 금천구 금하로 717,37.4508071,126.9096529,금하로717,관리번호: N114
주정차단속 CCTV,대한민국 서울특별시 금천구 독산로 238-1,37.4680578,126.902371,독산로238-1,관리번호: N115
주정차단속 CCTV,대한민국 서울특별시 금천구 금하로 668,37.4525867,126.9043003,금하로668,관리번호: N116
주정차단속 CCTV,대한민국 서울특별시 금천구 금하로 635,37.4548885,126.9018378,금하로635,관리번호: N117
주정차단속 CCTV,대한민국 서울특별시 금천구 범안로 1209,35.8284724,128.6552358,범안로1209 유창빌딩,관리번호: N118
주정차단속 CCTV,대한민국 서울특별시 중랑구 신내동 479 중앙하이츠아파트,37.6031991,127.0979568,범안로1138 중앙하이츠아파트,관리번호: N119
주정차단속 CCTV,대한민국 서울특별시 금천구 가산디지털1로 165,37.4801705,126.8811402,가산디지털1로 165,관리번호: N120
주정차단속 CCTV,대한민국 서울특별시 금천구 디지털로10길 22,37.4766347,126.8882918,디지털로10길 22,관리번호: N121
